company,website,name,email,title,niche,mx_ok,mx,russia_focus
1С:Сервистренд,https://www.servicetrend.ru,Отдел продаж,sale@servicetrend.ru,Sales,1С,True,MX found,True
A2IS,https://a2is.ru,Отдел продаж,info@a2is.ru,Sales,IT-интеграция,True,MX found,True
BPMSoft,https://www.bpmsoft.ru,Отдел продаж,info@bpmsoft.ru,Sales,BPM,True,MX found,True
Bopup,https://www.bopup.ru,Отдел продаж,sales@bopup.ru,Sales,Корп. мессенджер,True,MX found,True
Callibri,https://callibri.ru,Отдел продаж,sales@callibri.ru,Sales,Коллтрекинг,True,MX found,True
Calltouch,https://www.calltouch.ru,Отдел продаж,sales@calltouch.ru,Sales,Аналитика,True,MX found,True
Carrot quest,https://www.carrotquest.ru,Отдел продаж,sales@carrotquest.ru,Sales,MarTech,True,MX found,True
Clientbase,https://clientbase.ru,Отдел продаж,info@clientbase.ru,Sales,CRM,True,MX found,True
Cloud.ru,https://cloud.ru,Отдел продаж,sales@cloud.ru,Sales,Облако,True,MX found,True
CoMagic,https://www.comagic.ru,Отдел продаж,sales@comagic.ru,Sales,Коллтрекинг,True,MX found,True
Compo,https://compob2b.ru,Отдел продаж,info@compo.ru,Sales,B2B e-com,True,MX found,True
Directum,https://www.directum.ru,Отдел продаж,info@directum.ru,Sales,СЭД,True,MX found,True
ELMA,https://www.elma-bpm.ru,Отдел продаж,info@elma-bpm.ru,Sales,BPM,True,MX found,True
FirstVDS,https://firstvds.ru,Отдел продаж,sales@firstvds.ru,Sales,VPS,True,MX found,True
Getexperts,https://getexperts.ru,Отдел продаж,hello@getexperts.ru,Sales,IT-рекрутинг,True,MX found,True
HNC,https://hnc.su,Отдел продаж,sales@hnc.su,Sales,АСУТП / ЧПУ,True,MX found,True
Huntflow,https://huntflow.ru,Коммерческий отдел,office@huntflow.ru,Sales,HRtech,True,MX found,True
IVA Technologies,https://iva.ru,Отдел продаж,sales@iva.ru,Sales,ВКС,True,MX found,True
InSales,https://www.insales.ru,Отдел продаж,sales@insales.ru,Sales,eCom,True,MX found,True
InfoWatch,https://www.infowatch.ru,Отдел продаж,info@infowatch.ru,Sales,Кибербезопасность,True,MX found,True
Ingate,https://www.ingate.ru,Отдел продаж,info@ingate.ru,Sales,Digital-агентство,True,MX found,True
