company,website,name,email,title,niche
Mingwen Intelligent,https://mgwmachine.com,Отдел продаж,sales01@mgwmachine.com,Sales,CNC / станки
HNC,https://hnc.su,Отдел продаж,sales@hnc.su,Sales,CNC / станки
Tengzhong Machinery,https://uncomtech.ru,Отдел продаж,sales01@nttzmt.com,Sales,CNC / станки
Tesid Equipment,https://unimach.ru,Отдел продаж,sales@unimach.ru,Sales,Оборудование
ТД Ункомтех,https://saintymachine.com,Отдел продаж,sales@thebestcnc.com,Sales,CNC / станки
JAT Cemented Carbide,https://jillionsupply.com,Отдел продаж,sales@jillionsupply.com,Sales,Твердый сплав / инструмент
Rogen Technologies,https://jat-carbide.com,Отдел продаж,sales@jatcarbide.com,Sales,Технологии / инструмент
Искролайн,https://iskroline.ru,Отдел продаж,sales@iskroline.ru,Sales,Электроэрозия / CNC
Jimmy CNC Tool,https://jimmytool.com,Отдел продаж,sales@jimmytool.com,Sales,CNC инструмент
Ezhong Heavy Machinery,https://ezhonggroup.com,Отдел продаж,sales@ezhonggroup.com,Sales,Тяжёлое машиностроение
Shixinghong Precision,https://saintymachine.com,Отдел продаж,swyct@126.com,Sales,Прецизионное оборудование
Internor Machinery,https://internor-mach.com,Отдел продаж,sales@internor.com.cn,Sales,Станки / оборудование
РИЦ Техносфера,https://technosphera.ru,Отдел продаж,sales@technosphera.ru,Sales,Станки / поставки
Howfit Science,https://howfit-press.com,Отдел продаж,sales@howfit-press.com,Sales,Прессовое оборудование
Fengyi Yinhu,https://fengyitool.com,Отдел продаж,sales@fengyitool.com,Sales,Инструмент
